,Gene,PCA_feat
215,289,"[-0.4617044587170961, -0.12830152720981688, 0.15543318456974847, 0.0069092997575664365, -0.06003527906485565]"
216,290,"[0.8655108173503651, -0.48173755268697765, -0.4401129036074781, 0.5658839275216222, -0.06642334771160384]"
217,291,"[0.742713350367277, 0.16379802993999687, -0.12745408591428703, -0.41319990043873933, -0.07296630693882786]"
218,292,"[0.779966288333892, 0.5140594677263393, 0.3285077112148788, -0.29139356682068734, 0.07700815343975163]"
219,293,"[0.5552388119602396, -0.22725138830702094, 0.24746732297868307, -0.4674703345973249, 0.057830501258170415]"
220,301,"[-0.28126901680601146, 0.052540595889350034, -0.6398321174031386, -0.02503158377555655, -0.21790426476186522]"
221,302,"[-0.29796430449527256, 0.03673646366297191, -0.580373862171057, -0.023037181398146506, -0.17482659737097192]"
222,304,"[-0.4846789138964869, -0.1528293060702574, 0.2814344490039558, 0.012690038969691207, -0.08929361805624438]"
223,305,"[-0.4803195637695453, -0.14681059687804246, 0.23504047152674723, 0.010035671098878826, -0.038883735693288804]"
224,306,"[-0.34807385668254626, -0.014475300059443636, -0.3443954954451538, -0.013136758995766301, -0.16144118267862517]"
225,307,"[-0.3313541182820785, 0.0014169502231445828, -0.40383148514370704, -0.01510905466591376, -0.20451006514146838]"
226,308,"[-0.3064211174649903, 0.02864877613279724, -0.5506764233230219, -0.022082338650254996, -0.15260380905412904]"
227,309,"[-0.29393437147913326, 0.03869677161654276, -0.5650631887536363, -0.0214772048859555, -0.24462141796367246]"
228,310,"[-0.34940061520344706, -0.016307080348922122, -0.3302755890621229, -0.01232890771172038, -0.1767833207124223]"
229,311,"[-0.33457624948911113, -0.003031671198480648, -0.3695402869971048, -0.013147133166380628, -0.24176954443455986]"
230,312,"[-0.3711746697319614, -0.039177533881569485, -0.21704947794527735, -0.007279081489852245, -0.1921606776429274]"
231,313,"[-0.3869913225579005, -0.05391633785906554, -0.1656854691989442, -0.005750062005981178, -0.1417191405300783]"
232,314,"[-0.344000871662985, -0.012494537486814714, -0.3277212470384973, -0.011459365092983355, -0.23408264802758266]"
233,316,"[0.75352286804941, -0.5932958638099838, 0.04223398693917614, 0.584929788838395, 0.05397758370212246]"
234,317,"[-0.31065169905475426, 0.02281320971923637, -0.5056250036873895, -0.019502729508285303, -0.20155166931241264]"
235,318,"[0.7188699504764565, -0.62355402595221, 0.190657154718253, 0.5917921039543754, 0.10994847944910739]"
236,319,"[-0.4377309012197096, -0.09666149186613265, 0.04858945998200585, 0.004421665901465076, -0.04811492989714151]"
237,320,"[0.6806063651679969, 0.15695892354495325, 0.24313701982227467, -0.3805590631970632, 0.03635384811475475]"
238,321,"[0.7429634527837022, 0.35396050457364797, 0.2347862026431061, -0.3364133325018897, 0.060396337141170243]"
239,322,"[-0.16865111301345923, 0.7974677392793685, 0.13352290593926772, 0.21581927795424546, 0.022392039694362462]"
240,323,"[-0.42113660496823935, -0.04317806867861589, 0.030854801579932853, 0.015123514908309996, -0.010298217978008097]"
241,324,"[-0.010416061641679943, 0.9761581018431253, -0.5101816880475994, 0.19722217931532326, -0.12860834699998228]"
242,325,"[-0.2949733736328866, 0.05847164459977197, -0.5207173215246608, -0.012876856151280825, -0.22896649274876887]"
