,Drug,ECFP_PCA
3650,DB04680,"[-2.327275733285569, 0.35428898837185385, 0.9783066344826454, 0.38148848622149834, 0.6204836059359209]"
3651,DB04681,"[-2.585541880838343, 0.508996041210005, 0.013406407447036228, -0.21216829592652695, 0.08630541292817251]"
3652,DB02196,"[-2.0610066868366523, 2.24985901116899, 0.12641426264041178, 1.6055075991498955, -0.390967650621058]"
3653,DB03772,"[-2.1535475233508223, 0.41364485842886106, 0.25382732915291417, -0.4050303560470347, 0.23531099503858885]"
3654,DB04679,"[-2.2939667675715096, 0.802020182160802, 0.8530099300271791, 0.026287454842411195, 0.3938285924839572]"
3655,DB07633,"[-2.3266296246408174, 0.7706970545252354, 0.2563285098907157, -0.3573273211306173, 0.31746126754270326]"
3656,DB02952,"[-1.1167538634134435, -1.4678701589615342, 0.4290952830964503, -0.11847381377119308, -0.004754946084513726]"
3657,DB03380,"[-0.09586885926452285, -1.0820718300847447, 0.8978540521812582, 0.43808408849052205, -0.3925808978230841]"
3658,DB00765,"[-0.135460466204103, -0.9583390813103724, 0.5385571534815904, 0.2516758317553799, -0.04675429071550475]"
3659,DB00135,"[-0.15085718986604366, -1.2507635872038263, 1.298318408069237, 0.6705746879996538, -0.6268704665820244]"
3660,DB00120,"[0.30642150398111384, -1.316098449588253, 1.367233415608612, 0.7785210873606327, -1.157184096444684]"
3661,DB03552,"[0.42740310333748394, -1.184160197295029, 1.075346078340793, 0.7346828530163381, -0.5841957468293494]"
3662,DB00275,"[1.443552649632318, -0.06374438763910369, -0.06566108872326919, 0.43797068495090435, -0.31298237078943436]"
3664,DB08822,"[1.1317294915404799, 0.6363678911203138, -0.5596587811036128, 0.6658534250776553, 0.08730174394581508]"
3665,DB01342,"[0.859909947005179, -0.14578260445495916, -0.5996175760871755, 0.867478206179556, -0.7499167666073114]"
3666,DB01347,"[1.1315024811349366, 1.2298507132264949, 0.03898698023766961, 0.5388227777427784, -0.07640031444989304]"
3667,DB04345,"[-0.3030141084979203, -0.29260387356970685, -1.3813106845580445, 0.054581550061320344, 0.4453885626553194]"
3668,DB04363,"[-0.5231167727634244, -0.6250836082937746, 0.9223532797901771, -0.08441050305930967, 0.24938470076835526]"
3669,DB04478,"[0.23039788672897435, 0.2221736849564, -0.5996872080294318, 0.002313906971174542, -0.2695255625138795]"
3670,DB03758,"[-0.42496329080027095, 0.6188428170157466, -0.5436497749734571, -1.1503595413704333, 0.14819392124809308]"
3671,DB02935,"[-1.327187131355297, -1.1717894070439359, -0.025308305307332874, -0.16710155543658897, 0.704930675464454]"
3672,DB08464,"[-0.021160626772964056, -0.43030243993718387, 0.26700615913861825, 0.06308691884137796, 1.977134004672955]"
3673,DB08465,"[-0.3241168219384816, -0.29305597322972815, -0.24172682302290338, 0.22843201813576786, 1.7614197288088949]"
3674,DB02103,"[-0.9036253546962053, 1.5870886430223898, -0.9595943079490517, 1.1187640714101346, -1.0843674319797092]"
3675,DB03719,"[-1.9014139320209391, 1.9808658916039459, -0.23013313196030005, 2.3798218388440073, -0.5503830200705041]"
3676,DB07449,"[0.6655063266396853, -0.7924890395129215, 1.5082803059878513, 0.924971127787836, -0.3870633325914186]"
3677,DB01082,"[-2.2642094186678894, 1.0157247481535725, 0.8047566051073638, -0.052521088588771886, 0.18520515779894486]"
3678,DB01278,"[2.7977470571585754, 2.787490135478994, 4.400064168863227, 0.7823112445146455, -1.3270851226609677]"
3680,DB02255,"[1.2885676894189129, -0.7170878720863517, 1.371446865302253, 0.5814471580721979, -0.022799628640883425]"
3683,DB05442,"[-1.2307277612660987, 1.1791097601967537, 0.8076157017161419, -1.6708424028607873, 1.167716576738465]"
3685,DB03760,"[-1.2291010690895883, -1.4768103472977248, 1.2990181861189551, 0.17063546637045868, -0.42207271764151055]"
3686,DB07870,"[0.4819604521646366, -0.5452972147589615, -0.11919467124188356, 0.582436301261882, 1.464227862676706]"
3687,DB02859,"[-0.147414343254875, 1.2655477763790415, 0.04536905329261972, -1.5975961817865387, -0.07226761033695525]"
3688,DB03781,"[0.38253710794634904, -0.7138554888934069, 0.2370825267784752, 0.38260421665560185, 1.3337351190453144]"
3689,DB07288,"[1.1558672790986004, -0.4823760800588488, -0.5379506317566974, 1.0360129492400374, -0.16403262855635803]"
3690,DB07979,"[0.35699222950513393, -1.107496781095731, 0.4954768377512654, 0.19259985573214683, 0.07937293836082282]"
3691,DB03225,"[0.5202973731312123, -1.1473606150549132, 0.9900012819982222, 0.7661572572803166, -0.9631117401648643]"
3692,DB04166,"[0.18352007440254142, -1.0424141487357872, 0.0319680230912756, 0.1364971214275189, -0.813857791259256]"
3693,DB02838,"[-1.2074663750344428, -0.5505589611557126, 0.012015708005229131, -0.7328672121419967, -0.17389725451242552]"
3694,DB02988,"[0.7684009976632076, -1.0629355816109094, 0.4228037236166916, 0.20360658579393087, -0.689659067355846]"
3695,DB03531,"[-1.067461073861798, 2.126901570299824, -0.016353647323319655, 1.6618807339480615, 0.5523178251225729]"
3696,DB03793,"[0.3712279418747237, -1.2315317011177693, 0.06759509774139068, -0.2209734279852475, -0.7039073485347008]"
3699,DB04695,"[-1.9304341145471593, -0.5762465889986613, 0.2880802803896115, 0.19410687521373016, 0.5290624084893338]"
3700,DB00555,"[0.4236013096252857, -0.8058000180788888, -1.7551115468492955, 0.37637856266819664, -0.6841786325783116]"
3701,DB05420,"[-0.6013480675511852, -0.6507316075243135, -0.9731160699825376, -0.5426394302662368, 0.03350280429650073]"
3702,DB00631,"[-1.7854972982439836, 1.6971690266453543, -1.3860138099099455, 1.935947376176107, -0.9927813496226927]"
3703,DB01073,"[-2.0350504271160967, 1.7175649893684037, -1.1499281429469836, 2.1700668520036097, -1.1232865065512947]"
3704,DB02097,"[-1.6878329680344528, 1.1970772234524165, -0.8477525404801998, 1.0957622058728773, -1.2231219373526117]"
3705,DB04005,"[-2.148501468382001, 1.9026267210791274, -0.7496040415446332, 1.583992229915126, -1.0118677835387748]"
3706,DB02431,"[-2.0567316640077133, 2.064428845537957, -0.9471659326548163, 2.269286508043237, -0.9513037277427946]"
3708,DB00129,"[-1.3126218791049256, -1.5613198611099548, 1.2991429829658963, 0.42072229419107937, -0.6484736972257076]"
3709,DB04197,"[-1.2233687116699064, -1.331482691788148, 0.10585537169567111, 0.22113278218296034, -0.37326476793307]"
3710,DB02499,"[-1.110227107312111, -1.4631139445974919, 1.3254391279795816, 0.6558534175508487, -0.45455676905643094]"
3711,DB04585,"[-1.2098718862557103, -1.549248222316048, 1.3632474415693359, 0.438358592422655, -0.613440568085696]"
3712,DB03731,"[-1.3354161722772633, -1.5694730773840062, 1.2038167194112421, 0.5589663008049428, -0.5117653852934847]"
3713,DB01983,"[-1.2690151557558236, -1.519944715719195, 1.3964289425123513, 0.4598309253832843, -0.6868694099751188]"
3714,DB02689,"[-1.3821689105501955, -1.61345983216523, 1.1074415846242718, 0.48412375546850894, -0.3975976004356182]"
3715,DB04648,"[-1.4695837210185598, -1.4887353628769477, 0.36502110407723604, 0.27207159872578335, -0.5867695228633666]"
3716,DB02381,"[-1.0521764008729053, -1.3758797926240216, 1.509177597394395, 0.8302834714002146, -0.4526797576494494]"
3717,DB02678,"[-2.4819247681984433, -0.25828546347228853, -0.13630349347260862, 0.15487662541506014, -0.8626632490597477]"
3718,DB03744,"[1.838810516713758, 0.4264328430063462, 0.9286183304227311, 0.4702604618121273, -1.2121513485041466]"
3719,DB07315,"[0.5509630480730416, -0.600056836534643, -0.09268351900969833, 0.7985367051844395, 0.49453253017905535]"
3720,DB03288,"[0.47669533874623676, 0.4632604709866747, 0.27016727680364977, -0.06773920137118838, 0.08522925682000289]"
3721,DB08844,"[-1.1126409761998335, -1.0676467272114116, -0.9338462078031301, -0.5472586375293567, -0.5496626274396215]"
3723,DB07395,"[0.6731153153291688, -0.1710924481706382, -0.22318519858489794, 0.6217610004775239, 1.1954411688328186]"
3725,DB07396,"[0.60008214717564, 0.880332728412191, 0.0015055873890396703, -0.5697629689419635, -0.07275500494278216]"
3726,DB02089,"[0.3593579974385914, -0.4055927203337889, -0.34237023245027337, 0.6939375810732825, 0.7307255199512664]"
3727,DB07968,"[0.32485208912308944, 0.03285855972659175, -0.30428928125719373, 0.15728892783009538, 2.123692038824972]"
3730,DB03485,"[-1.8273614573300878, -0.3884535609640147, -0.3762467332734675, -0.4821253347713316, -0.3861551118292066]"
3731,DB06987,"[0.24893416829511195, -0.5072341647009481, 1.0424835611287562, 0.825061551492931, 1.2311989526975997]"
3732,DB03040,"[-1.2026630346716507, -1.5593057777991977, 0.5326265986067779, -0.26418240151450545, -0.27980973054958846]"
3733,DB01811,"[-0.19131614819518786, -1.1058152908258236, -1.1434469131108913, -0.2598252344644071, -0.07515659452007761]"
3734,DB03821,"[-1.6213178711542793, -1.1711914207988319, 0.8906919412521165, 0.781226562425845, -0.10476425763033509]"
3735,DB01800,"[-0.3219988392627987, -0.9127496865829119, -0.7177195240453245, -0.35530256280312583, 0.8232100639263314]"
3736,DB01699,"[-1.209375605236137, -1.4804514408970768, 0.9228505551236861, -0.028260557087291752, -0.03330791067605098]"
3737,DB04235,"[-1.2028879602007314, -1.4323596758751187, 1.4395808836086754, 0.22937658352269086, -0.0800593414479944]"
3738,DB03934,"[-0.35479739906711993, -0.5577067525626346, 0.3861478664010452, 0.26954606262117825, 0.721218640852255]"
3739,DB04249,"[-0.12127672413296182, -0.8759830388043517, 0.7666294999584501, -0.26696115890063643, 0.19354779434570973]"
3740,DB07624,"[0.004391227859543919, 0.8643326846383784, 0.45662206169741865, -0.9207651331391943, 0.26701391916868983]"
3741,DB06992,"[0.8484724702551799, 0.615104191423923, -0.6821248996229549, -0.5254875248142815, 0.16350880186429118]"
3743,DB07866,"[-0.9918395111787076, 0.6720787610269432, -0.14469872737345332, -0.9259901001818116, -0.04449163333409344]"
3744,DB02329,"[-0.6400382143270655, 0.6531154411324593, 1.2081476567472582, -1.3624390386721092, 0.5735807752826784]"
3745,DB07017,"[-0.0883845031874387, -0.2088488837905017, -0.31924693205826754, -0.3708762975293647, 0.3608134521588229]"
3746,DB07049,"[-0.10695987268619396, 0.4591425474876758, -0.4452036742584, -1.1921832528076175, -0.15461659198685782]"
3747,DB08771,"[0.5675675935734151, -0.3129164242794562, -0.5654335638483908, -0.0851486373510846, -0.24601585272773052]"
3748,DB07310,"[0.3210602151535975, -0.15908286690619253, -0.4798740020536289, -0.4471147695794706, -0.1055128461627175]"
3749,DB07619,"[0.2944882487470323, 0.8763759859653318, -0.3720373181956667, -0.5084334357569764, 0.2984671820838732]"
3750,DB08277,"[0.18480567392408373, 0.5479411725594361, 0.11728590625540146, -0.45954563944554866, 1.2904306240964825]"
3751,DB07316,"[-0.1587104756700087, 1.2939517883035057, 0.44928750028317743, -0.9087515030916167, 0.20002473546223762]"
3752,DB07056,"[0.6504478725951139, -0.41588350583674943, -0.39647246536543906, 0.4832746150922236, 0.7710156778931838]"
3753,DB08280,"[-0.050491437252410655, 0.6255337173097174, 0.3259446424956556, -0.4068096090389088, 1.4731455628346997]"
3755,DB02779,"[-1.4607093175572885, -1.5346003789252383, -0.11570067401260231, -0.44136795889810726, 0.12620236874310192]"
3756,DB07786,"[0.8921625036958706, 0.32172784567188745, -0.07401879687924509, 1.1454222227144242, -0.17802172295793633]"
3757,DB00194,"[-2.6926972738806576, 1.7994383142744426, -1.1544175455985612, 2.3754316046401875, -1.5334610490371077]"
3758,DB07783,"[1.4421449070550145, 0.007949606969837186, 0.639628870512559, 1.6922238084195995, -0.6778193144561508]"
3759,DB00552,"[-1.518046883347292, 1.3680279373311905, -0.905965560317546, 0.14040322667016011, -1.0817999429681389]"
3760,DB03370,"[0.5410293166175917, 0.0854559628086604, 0.2744071670117004, 0.9876896888330297, -0.22120176523707896]"
3761,DB02096,"[0.6942706002372371, -0.45263611728105935, 0.8258265558214665, 1.265524710030172, -1.2832864636613295]"
3762,DB02472,"[-1.6659002229095794, 1.3906552592339618, -0.5118141948287818, 0.5305563897843025, -1.2984652193640263]"
3763,DB00640,"[-2.6926972738806576, 1.7994383142744426, -1.1544175455985612, 2.3754316046401875, -1.5334610490371077]"
3764,DB02616,"[0.5754290523002045, -0.26666761386237575, -0.8261866109231729, 0.6538779196188221, -0.9090551152434672]"
3765,DB07711,"[-1.2191953887829752, 0.20725963122924437, -0.03839637616742176, 1.7417897350477867, -0.3237201448164362]"
3766,DB02830,"[1.5366702955109652, 0.14673177549750416, 0.6900057581320727, 1.5088118231012462, -0.6678336376711492]"
3767,DB03572,"[0.7666560861170999, -0.09640057790836724, 0.09297235371988055, 1.2463959403328833, -0.9464653767770165]"
3768,DB03015,"[-1.7728258318189407, 0.5518326771507408, -0.6306074318770009, 0.010093663313048635, -0.9512801198700108]"
3769,DB03220,"[0.8648447996926533, 0.01903936308428134, 0.37861898789510406, 1.1745011611979623, -0.5196228372296509]"
3770,DB07785,"[0.8299750681829516, 0.12690314775809536, 0.31703993489935706, 1.329656483030844, 0.580258874927887]"
3771,DB04440,"[-2.181080542360703, 1.303009555814052, -1.1266773895203497, 1.3769082652284357, -1.053948765549359]"
3772,DB05057,"[-0.5734799664707391, 0.06598938891688157, 0.9217856272737238, -0.6374344503071017, -0.5447855862843975]"
3773,DB04218,"[-2.0051868431738957, 1.562574639582938, -1.2670582591490975, 1.8543128181917927, -1.3496840636314098]"
3774,DB01280,"[-1.9326682818103227, 1.936086683063371, -0.9688057377722883, 1.9524876231773964, -0.08068895326044176]"
3776,DB02486,"[-1.4876874920117176, -1.512434972387307, -0.27051886731706387, -0.2889983894860085, -0.4634752636893849]"
3777,DB02943,"[0.7982174156699393, -0.5964392812284813, 1.8094878830838665, 1.14257299375701, 1.380836608084626]"
3778,DB04263,"[-1.809546130616859, 0.7196762025945568, 0.5233394003362908, -0.46246225146730163, 0.4093825300400782]"
3779,DB06243,"[-0.981469318050294, -1.5449244267425917, 0.8346094749139886, 0.2050176226597811, -0.3112039337837652]"
3780,DB03856,"[-0.981469318050294, -1.5449244267425917, 0.8346094749139886, 0.2050176226597811, -0.3112039337837652]"
3781,DB01917,"[-1.3434529851550558, -1.614816256252979, -0.3991539905342542, -0.1473058642818389, -0.6126167842840718]"
3782,DB06928,"[-0.36356874798037025, -0.7361665657616213, 1.2177133683581938, 0.377663917146113, -0.5255973658730344]"
3783,DB07754,"[0.379040386997701, -0.7806297695905147, 1.3593523078413117, 0.7558076121159102, -0.5764200297449311]"
3785,DB08292,"[-0.09768843909789782, -0.1256440022414464, -0.765068176537424, -1.099572146827017, -0.09076047413696627]"
3786,DB08293,"[-0.09768843909789782, -0.1256440022414464, -0.765068176537424, -1.099572146827017, -0.09076047413696627]"
3787,DB08045,"[0.29710495545746274, -0.5207114016983893, -1.3902817142519073, 0.6792633143569023, 0.6976339934766652]"
3788,DB08346,"[-0.0554761642660015, -0.11438937745914929, -0.6849640969408234, -1.0659969484685432, -0.09121470950370685]"
3789,DB08153,"[-0.046064575937003804, -0.09218940055687146, -0.6798762615675373, -1.0805849424209717, -0.10786032381002648]"
3790,DB01949,"[-0.9189700759190939, -1.2129525674049482, 0.7315934706656907, 0.378300741624856, 0.48769764263132154]"
3791,DB07117,"[0.8203512949304659, 0.21379254257807015, -0.8710993472270193, -0.635073783112877, -0.766702273922736]"
3792,DB03683,"[-1.1266131287288121, -1.4092266000543447, 1.3477720594003308, -0.09023973971175114, 0.06769074839907957]"
3793,DB07285,"[0.14043699419997285, -0.8291021701617803, 0.5042263842419724, 0.18169426700951885, 1.522873367028233]"
3794,DB05495,"[0.7934013805633109, 0.40212730527408996, 0.8253392747041384, 0.4742916604074423, 1.518307574135093]"
3795,DB07246,"[0.7367360864916279, -0.9283265322197884, 0.5603038355287021, 0.5568987519766901, 0.5026141020401079]"
3796,DB02018,"[0.11225423808927001, -1.1703111321726967, 0.5870783139961872, 0.3229726647313754, -0.29663764149461525]"
3797,DB06962,"[0.7909055054395723, 0.19655523945706438, 0.401256018694782, -0.6196999807951843, -0.6631114572443979]"
3798,DB04764,"[1.3455910356239966, 0.42612709308025576, 0.33988693222347244, -0.15946249998493492, -1.2823632025339229]"
3799,DB06849,"[0.7576988941974475, 0.1275313686535185, 0.4518736407964555, -0.66359105236515, -0.6260140233317156]"
3800,DB06848,"[0.928774149542398, 0.40065823965030767, 0.30922350064281456, -0.5861269219572878, -0.10153925989557203]"
3801,DB07340,"[0.09564124167653475, 1.5645140568141027, -1.3192668210721483, -0.28407108667336883, -0.848061805507034]"
3802,DB00789,"[-1.1467986822969911, -1.4538383287006478, 0.5353965253820101, -0.3034952283110957, -0.11150640133579587]"
3803,DB02076,"[-1.6267247943179883, -1.1099110809405475, 0.9620764039811871, 0.7711717619264639, 0.08176086817428768]"
3804,DB03962,"[-1.514115997454071, 2.961702008869111, -0.8415093957193541, 3.1848120359515844, -0.8247780545275811]"
3807,DB04434,"[0.5631921745766504, -0.37011049439851734, -1.5573158865798657, 0.13009823835999262, -0.23278922584148248]"
3808,DB07267,"[1.144364378000121, -0.6749668577789986, -1.4434260893215245, 0.5346935214204691, -0.3618377602652574]"
3809,DB03921,"[0.6164841520746542, -0.6626775751128285, -1.7375651126511893, 0.3370387220478762, -0.562376993352684]"
3810,DB08450,"[1.3014748878459403, -0.5093030156521947, -1.5030930395053188, 0.6890434122963204, -0.06263712535128936]"
3811,DB07152,"[0.681723916679704, -0.18469380334006366, -0.9596630168139922, 0.9192808302767255, 0.9246139281560658]"
3812,DB04480,"[0.7472361484616966, 0.35219242361259695, -1.6725212258567272, -0.3780423505905696, -0.6160025050409585]"
3813,DB06751,"[0.02323116750483987, -0.16591679649364752, -0.9424077654816594, -0.5790890456660811, 0.7457384473180467]"
3815,DB08335,"[-0.31315346467360894, -0.7640552304052817, 0.2572957557330327, -0.20840417107234507, 0.714002487695251]"
3816,DB08333,"[-0.28201748661539955, 0.1567899083996629, 0.2914594330020827, -1.1196095506186874, -0.07561659799170402]"
3817,DB02728,"[-0.1263817757901383, -0.15375971913463876, 0.07268463753724265, -0.044475257474782814, 0.9746805697182075]"
3818,DB07888,"[-0.011915160501312203, 0.5411039181960469, 0.16045266773022526, -0.3887022950044957, 0.7442502367466679]"
3819,DB01880,"[-0.18007446825677484, -1.2250402476339641, -0.07429532936326078, -0.3735406405807061, 0.11734963468319846]"
3820,DB08334,"[0.04120219306894102, 0.1824352527978115, -0.02858048745771163, -1.0263775263611734, 0.25526261357351715]"
3821,DB04445,"[-1.4035595401770067, -1.6323343582708165, -0.7735800738240218, -0.48206133424984, -0.5154422577350858]"
3822,DB01812,"[-2.835524257869143, 2.816343707877765, -0.9446058456372826, 2.7977135894230125, -1.0146951078143287]"
3823,DB02854,"[-1.5939976922452432, 0.8581596421151172, -0.23535687697572025, -2.212356881697406, 0.07032071142693508]"
3824,DB01382,"[0.7805239459595282, -0.3917843529496278, -0.1680839926271856, 0.6109128113126566, 0.7763996429585959]"
3825,DB08642,"[-0.09347502568206133, 0.6056543723473484, -0.679014657642292, -0.5779688848663199, 0.6882683135586941]"
3826,DB03886,"[-0.7849159460775134, -0.0872201066770196, -0.5855647068426075, 0.8184433842268235, -0.1018992023082305]"
3827,DB08234,"[0.21024811669954183, -0.121483961309661, -1.1674860205388662, 0.4558383817310197, 1.725895160482243]"
3828,DB07142,"[-0.18748883710691372, -0.2648333981805523, -0.7303580261902518, 0.813959557356649, 1.4670323006999477]"
3829,DB03695,"[0.32922217599794285, 0.04185335698577145, -1.4705953344571197, 0.7124195447356875, 1.8179610609795849]"
3830,DB07144,"[0.6170777695657841, -0.19253941080540335, -0.9668110876318562, 0.895691044712619, 1.302595533410673]"
3831,DB02427,"[0.5697081230407429, -0.1192014984785306, -1.2260418012184273, 0.45082433915147646, 1.5972917349932685]"
3832,DB03987,"[0.0610204374540081, -0.07534429195177055, -1.3807902965619117, 0.8127472716951926, 1.2572436389034025]"
3833,DB08406,"[0.48445157226958563, -0.25179553890813033, -1.5442960789318918, 0.9354144677599913, -1.105255721234344]"
3834,DB08878,"[0.5279599187501921, -0.055740713234257076, 0.5788456649855502, 2.103357686320255, -0.2598985383398457]"
3835,DB02583,"[0.5430554516753504, 0.1504675671237942, -1.5080560269758396, 0.6094878508977232, 1.8160432634913428]"
3836,DB02104,"[-0.11857103002117521, 0.07980772007807518, -1.5115983335905065, 0.7584846963784216, 1.5561023024246439]"
3837,DB07140,"[0.9122886136109107, -0.4017532618673674, -0.4308040751863823, 0.9746267462688041, 0.7422031335493202]"
3838,DB03125,"[-0.0894078837434374, -0.29834367023815156, -0.9376212714007078, 0.544526172647539, 1.0234266953281828]"
3839,DB02559,"[-0.7249356003491239, 0.4772623107784704, -0.23453356436183057, -1.0596742827656584, -1.1651206519097401]"
3840,DB07141,"[0.18438803396380704, -0.23636776123518963, -0.8361699013226417, 0.8457348886235373, 1.4474318466355947]"
3841,DB02919,"[0.15485589311686426, -0.07477629288440649, -1.420161962071759, 0.7078004818680258, 1.326975468557929]"
3842,DB01157,"[0.5606982783125742, -0.10281395478445922, -1.395492344335428, 0.9036716169852749, 1.626066688787756]"
3843,DB08448,"[0.13627833830762748, 0.6795937225822373, -1.2327787414134777, 0.4926748701326892, -0.35089127315316176]"
3844,DB03060,"[0.39684285909809286, -0.005148973146155202, -1.5049905050786818, 0.7789142318085955, 2.045622205864911]"
3845,DB03351,"[0.7931419704740991, -0.212672579784825, -1.5606940460913996, 1.167154385831756, 0.046295460997342636]"
3846,DB09031,"[-1.603090712696209, -1.0182314584634833, 0.2716410179936081, 0.1312247609414655, 0.684542861076597]"
3847,DB00133,"[-1.4448141826932317, -1.5811687430239445, 1.0732485944117092, 0.4663006638747406, -0.6207292524792062]"
3848,DB02169,"[-1.0002088829066058, 1.4875867195890162, 1.3595989418031293, -0.8562704383364826, 0.34385612144760386]"
3850,DB04738,"[0.8716529884978264, 1.4832869275078109, 1.585415606933099, -0.6224803290617958, -0.02499410156774821]"
3851,DB02860,"[-0.7837792574851712, 2.275759892229967, 1.1499658871932354, 0.5224073304318478, 1.5337372998481857]"
3852,DB03903,"[-0.01182859097824339, 0.45002579499790807, -0.07713813072413904, -0.9864687211852582, 0.030028349309271177]"
3853,DB04629,"[-0.9593707639948793, 2.078810545444558, 1.3526210815743522, -0.847170351597132, 1.0222825888932014]"
3854,DB04783,"[-1.5204060152278671, 1.9105350304791922, 1.3583963949257636, -1.1378232169800717, 1.194862786685746]"
3855,DB04151,"[-0.5294803545492379, -0.45871192363176094, 0.6369929180050204, 1.0492770390043726, -0.511062488341822]"
3856,DB04774,"[-1.3835038697615047, 1.7631467422604543, 1.34252913597222, -1.2158001164022791, 1.148353803399586]"
3857,DB02621,"[-0.946103362357832, 0.998880950309961, -0.3188090207231581, -2.1820645365105853, 0.1830856490224025]"
3858,DB03850,"[-1.2567928973030187, 1.8861878477215959, 1.01175441786301, -0.2470869465981246, 0.7871902172566667]"
3859,DB02772,"[-2.302292981308881, 0.14197978277591208, -0.05102021628152868, 0.09730119557391949, -0.4159556655588045]"
3860,DB04775,"[-1.1795783265040065, 1.3897709508690597, 1.650290695426582, -1.1232807289050912, 0.7342370909424599]"
3861,DB03021,"[-0.4476868476359234, 2.2387495685708654, 1.405977020756251, -0.5964673466126637, 0.6798598813745726]"
3862,DB08080,"[-0.9162869236492271, 0.953238552394887, -0.35952068800332887, -2.1486878608976485, 0.1498039082685493]"
3863,DB03616,"[-0.7449096271586723, 1.740148695031663, 1.2667309715171997, 0.0422979573310392, 0.5713134992248523]"
3864,DB05494,"[-1.6928129153024847, 1.5348322859892116, 0.2462161422226161, 1.3218077699188193, -0.013200618287902827]"
3865,DB00879,"[-0.9867447144479669, 1.1457575820438686, -0.6269619165567455, 0.18496410024318294, -1.0850944945910035]"
3866,DB04961,"[-0.8006816776489125, 1.003526549606184, -0.7731106025911835, 0.14618291588761137, -1.0806447267503683]"
3867,DB02594,"[-1.2576201338625188, 1.4584373313401624, -0.7900570049042445, 0.281895485122861, -1.1460263120543346]"
3868,DB01262,"[-1.6429197586585897, 1.7052004338267583, -0.847701809287163, 0.6283482708225595, -1.0423798148872545]"
3869,DB01212,"[0.10319922718634612, 1.4990842015045793, 0.27600742803429584, -0.13091364115624152, 0.19747235935988647]"
3870,DB08794,"[0.14254792738996097, -0.48090049602963736, 0.5034191541367242, 0.052431801090742164, 0.3656694947604441]"
3871,DB00161,"[-1.265377181533139, -1.4719462508478802, 0.9829355941404201, 0.16260127255141388, -0.11644867373052598]"
3872,DB07544,"[1.0491707370505052, -0.36149536854468234, -0.41052849799348407, 0.6351772386034029, 0.23431285468120902]"
3873,DB01711,"[-1.2159056549006313, -1.3384974136992938, -0.4597501547314906, -0.32679490949787227, -0.2533923807652353]"
3874,DB03226,"[-1.4007515475488053, -1.5049660794164539, -0.3318807380546149, -0.2919028626619139, -0.29801580231594893]"
3875,DB02822,"[-0.46848545029844496, -1.2488434949586575, -0.3924567435386135, -0.13333649584122959, -0.42785046989356956]"
3876,DB02871,"[-1.3703265295170064, -0.49315254796262425, 0.30514393232771075, -1.0964276579420609, -0.05377114687278814]"
3877,DB03020,"[-2.16022839828982, 2.9061343684444534, -0.6092550174733208, 3.706953574277424, -0.8967386567766146]"
3878,DB04312,"[0.024836319753229304, -1.1395186944213325, -0.6222586460273739, -0.07890662011635875, -0.5243790655700151]"
3879,DB04448,"[-0.3041857194936498, -1.0013043075183217, -0.8478141123911999, -0.05339870866966745, -0.07917207924476215]"
3880,DB02249,"[-1.5250627818300297, -1.237722337670596, -0.02365428969806725, -0.24753228285640813, 0.4327537672892784]"
3881,DB02131,"[-1.15986710613909, -1.158329700306087, 0.9020962687225357, -0.07470534743655824, 0.18341521220227772]"
3882,DB03061,"[-1.1769449133007155, -1.172269426116904, 0.8811587079157286, -0.08328923061191637, 0.18024850173069484]"
3883,DB04071,"[-1.941196000815641, 3.153124800822223, -0.8176074665238118, 3.5202181440759897, -1.282930121989858]"
3884,DB02757,"[-0.567520414136655, -1.1356121576898563, -1.2284277230484062, -0.1542691580101239, -0.461852130676535]"
3885,DB04113,"[-0.733219819111976, -0.702482080463419, -0.3088901649940451, -1.0567607169429527, -1.0848162590240602]"
3887,DB06441,"[-2.035828362526895, 2.5334821343233433, -0.6176191152554429, 2.769895756943988, -0.11157032891786142]"
3888,DB03124,"[0.9682216779918111, -0.806912791616304, 1.2073905455449916, 0.44663522967137836, 0.7158969752554141]"
3889,DB08499,"[0.735833688005075, -0.2016205599906244, -0.3368306391402254, 0.3006672439810078, 1.0419640257629232]"
3890,DB07696,"[-0.9992593993875343, -0.8398093313351084, 1.294134904243697, 0.21233125561360097, 0.9139989583397048]"
3891,DB08251,"[0.5884968584548691, -0.6897032393910245, 0.49472409316925103, 0.6610408907159815, 0.20254495922060473]"
3892,DB08229,"[0.43236970083401394, -1.2040900892537267, 1.079866409930104, 0.366393448704034, -0.8006296826550716]"
3893,DB08497,"[0.6162248940466216, -0.377373356106669, 0.43830576947682043, 0.08803097415148753, 0.07978096110307528]"
3894,DB06862,"[0.27757261046216913, -0.9515391293122184, 0.11425983992562408, 0.23466157717030917, 0.3861251362417184]"
3895,DB08498,"[0.7195621381498843, -0.09378970842464388, -0.10874576366392483, 0.09295994230302382, 0.7477398328716516]"
3896,DB08213,"[1.097697544605751, 1.0106471637470955, -0.34368585551498065, -0.994235403686003, -0.3267020188081199]"
3898,DB02751,"[-1.0773924572439648, -1.5399674325617567, 0.7569695597524287, 0.11111017424151888, -0.49900223998896753]"
3899,DB00536,"[-1.3521827410184852, -1.5316476402920562, -0.1862279625991619, -0.06871672319368861, -0.511264265915755]"
3900,DB06990,"[0.018234620299094683, -0.38141444034386657, 0.04263658358008734, -0.00705633139434345, 0.4371876085737167]"
